ano,mes,taxa_homicidio_doloso,taxa_latrocinio,taxa_lesao_corporal_morte,taxa_crimes_violentos_letais_intencionais,taxa_homicidio_intervencao_policial,taxa_letalidade_violenta,taxa_homicidio_culposo,taxa_roubo_transeunte,taxa_roubo_celular,taxa_roubo_corporal_coletivo,taxa_roubo_rua,taxa_roubo_veiculo,taxa_roubo_carga,taxa_roubo_comercio,taxa_roubo_residencia,taxa_roubo_banco,taxa_roubo_caixa_eletronico,taxa_roubo_conducao_saque,taxa_roubo_apos_saque,taxa_roubo_bicicleta,taxa_outros_roubos,taxa_total_roubos,taxa_furto_veiculos,taxa_furto_transeunte,taxa_furto_coletivo,taxa_furto_celular,taxa_furto_bicicleta,taxa_outros_furtos,taxa_total_furtos,taxa_policial_militar_morto_servico,taxa_policial_civil_morto_servico,taxa_registro_ocorrencia,data_referencia,UF
2011,4,25,4,4,258,42,3,115,2909,307,371,3588,2898,148,257,65,1,1,8,11,,564,5668,803,1601,529,12,,5048,918,,,3643,"01/04/2011","RJ"
2011,1,265,6,3,273,38,311,111,297,314,383,3668,3093,144,255,57,2,1,2,86,,538,5729,886,1757,475,1268,,496,9346,,,36011,"01/01/2011","RJ"
2011,10,197,7,1,205,12,217,132,2563,246,317,3125,318,159,244,71,1,1,4,89,,544,5287,875,1482,571,993,,4631,8552,,,35061,"01/10/2011","RJ"
2012,7,184,9,3,196,3,226,14,2565,251,232,3048,3017,163,296,6,1,1,5,87,,511,5213,82,1525,527,961,,5193,9027,,,37771,"01/07/2012","RJ"
2012,8,181,7,1,188,27,215,135,2488,228,212,2929,3109,202,26,62,1,2,4,103,,566,5206,806,1571,547,1014,,513,9067,,,37509,"01/08/2012","RJ"
2012,3,243,1,1,255,23,279,104,27,251,296,3247,3701,215,296,91,0,1,4,108,,616,5829,884,1743,574,103,,5253,9484,,,38406,"01/03/2012","RJ"
2012,2,244,9,1,254,22,276,108,2801,234,283,3318,3638,178,282,67,2,1,4,9,,593,576,845,3317,537,1162,,5178,11039,,,37871,"01/02/2012","RJ"
2012,4,211,4,1,217,28,244,118,2645,23,259,3134,3756,184,272,75,1,1,7,89,,567,5604,871,1549,535,956,,4956,8867,,,35961,"01/04/2012","RJ"
2012,5,213,6,1,22,25,245,125,2884,253,305,3443,3702,211,281,91,1,1,7,96,,574,5967,847,1616,639,1063,,5424,9589,,,38331,"01/05/2012","RJ"
2013,11,252,8,1,262,19,28,115,3265,288,33,3884,4352,188,371,77,1,2,7,87,,671,6902,879,1533,512,837,,483,859,,,389,"01/11/2013","RJ"
2013,2,238,4,2,245,18,262,105,2868,228,258,3354,3285,158,277,72,1,4,6,83,,501,5627,807,2908,494,1059,,5495,10762,,,39345,"01/02/2013","RJ"
2013,1,244,7,1,252,18,269,107,267,213,248,3132,3362,206,3,77,0,2,5,95,,496,5507,867,2142,473,935,,5467,9884,,,37723,"01/01/2013","RJ"
2003,4,398,1,7,415,85,5,141,1041,685,425,2151,87,206,478,115,7,0,25,158,,1799,6957,1153,531,39,368,,4994,7085,,,30072,"01/04/2003","RJ"
2003,2,397,8,3,408,76,483,128,1043,655,47,2169,9349,302,49,116,8,0,14,159,,1824,7238,1179,584,36,441,,4795,7035,,,30905,"01/02/2003","RJ"
2011,11,21,6,1,217,2,238,127,2523,23,271,3024,2976,186,22,57,0,1,3,98,,537,5113,782,1475,514,986,,4648,8405,,,34077,"01/11/2011","RJ"
2012,9,204,8,0,212,9,221,111,2186,207,214,2607,3096,152,258,64,1,3,7,79,,512,4762,789,1374,484,885,,4657,819,,,3469,"01/09/2012","RJ"
2005,11,325,11,6,342,62,404,134,2211,389,512,3112,,226,232,99,1,2,9,9,,519,6119,126,83,266,857,,3483,6696,,,31373,"01/11/2005","RJ"
2014,4,273,1,1,284,23,307,118,4123,337,4,4859,4942,226,461,73,2,3,5,86,0,754,8339,911,1589,571,684,0,5006,8761,211,0,40976,"01/04/2014","RJ"
2014,7,225,9,2,236,35,27,95,4371,393,36,5124,3935,269,395,58,1,1,9,83,0,674,8118,885,1973,621,782,0,5673,9934,422,0,41075,"01/07/2014","RJ"
2014,10,228,7,2,236,27,263,99,409,481,394,4964,3583,331,303,5,2,2,4,73,0,664,7782,867,1581,601,795,0,4974,8818,211,0,41581,"01/10/2014","RJ"
2014,9,209,4,2,216,3,246,93,3932,461,324,4716,357,292,311,46,1,4,1,69,0,537,7354,814,1557,574,79,0,4751,8486,211,0,40975,"01/09/2014","RJ"
2014,5,27,5,2,277,32,309,98,4276,348,347,4972,4918,316,443,85,1,2,5,67,0,71,847,918,1566,533,701,0,4935,8653,422,0,40237,"01/05/2014","RJ"
2014,11,209,7,1,217,38,255,95,3789,497,369,4655,376,365,318,59,1,1,4,71,0,656,7593,835,1613,542,759,0,4866,8615,211,0,40014,"01/11/2014","RJ"
2014,1,283,9,2,294,3,324,118,4036,288,403,4727,5223,298,472,77,4,2,5,74,0,777,8389,998,1991,571,937,0,6019,10516,0,0,45935,"01/01/2014","RJ"
2014,12,247,1,4,261,23,284,93,3857,46,431,4748,4389,477,364,59,0,3,2,84,0,706,8158,864,1718,529,763,0,5078,8951,0,0,4079,"01/12/2014","RJ"
2014,2,293,1,3,306,34,34,101,3991,281,378,465,4905,255,443,85,2,3,9,75,0,711,8075,904,1994,572,821,0,5364,9655,211,0,42279,"01/02/2014","RJ"
2014,6,229,11,1,241,27,268,112,4082,374,343,4799,4201,235,394,63,0,1,4,53,0,636,7787,845,1794,475,728,0,5311,9153,422,0,39746,"01/06/2014","RJ"
2014,8,226,5,2,234,27,262,112,4077,454,307,4838,381,272,332,63,2,1,3,67,0,556,7598,907,1435,589,719,0,4657,8307,422,0,39528,"01/08/2014","RJ"
2015,8,203,7,1,211,3,24,93,2914,67,379,3963,3502,294,32,6,0,1,3,56,1,708,6819,84,1715,519,986,103,4382,8544,0,0,38154,"01/08/2015","RJ"
2015,11,205,3,3,211,28,239,94,3263,704,393,436,3902,413,356,69,1,2,2,69,1,717,7575,878,1671,51,936,9,4333,8418,414,0,38004,"01/11/2015","RJ"
2015,12,23,7,2,239,17,256,92,34,665,438,4504,4672,555,369,74,2,1,4,57,1,866,8331,83,1838,596,924,93,4858,914,621,0,40444,"01/12/2015","RJ"
