id_municipio,uf,homicidio_media,homicidio_cv,roubo_veiculo_media,furto_veiculo_media,total_crimes_violentos,proporcao_roubo_furto,tendencia_homicidios,volatilidade_crimes,nome_municipio,is_capital,cluster,indice_criminalidade,is_hotspot
3540259,SP,0.02,6.8697,0.06,0.07,0.1,0.04,0.0044,1.19,Outros,0,5,0.0001,False
3539806,SP,0.89,1.2238,18.85,19.18,37.1,0.3842,-0.005,50.55,Pirajuí,0,3,0.0059,False
3540101,SP,0.01,8.9061,0.02,0.05,0.08,0.0461,-0.0059,0.83,Pirapozinho,0,6,0.0001,False
3539905,SP,0.03,5.7812,0.02,0.16,0.09,0.0168,0.0009,1.99,Pirangi,0,5,0.0002,False
3539707,SP,0.0,15.4882,0.01,0.04,0.03,0.0122,-0.0222,1.19,Piraju,0,4,0.0001,False
3539509,SP,0.33,1.7902,0.29,1.56,1.34,0.0249,-0.0027,23.04,Piracaia,0,3,0.0018,False
3539608,SP,0.02,6.8697,0.03,0.17,0.11,0.0254,-0.0012,1.97,Piracicaba,0,5,0.0001,False
3539004,SP,0.06,4.1478,0.11,0.48,0.32,0.0297,0.0058,4.95,Pindamonhangaba,0,5,0.0004,False
3539400,SP,0.08,3.7245,0.05,0.59,0.31,0.0287,0.0012,4.61,Piquete,0,5,0.0004,False
3539202,SP,0.17,2.5548,0.08,0.78,0.35,0.0133,-0.005,7.86,Pinhalzinho,0,3,0.0008,False
3539103,SP,0.23,2.0917,0.15,0.44,0.88,0.0507,0.0022,7.14,Pindorama,0,3,0.001,False
3538501,SP,0.1,3.0062,0.13,0.24,0.5,0.0506,0.0014,4.41,Pereiras,0,5,0.0005,False
3538808,SP,0.12,2.9073,0.09,1.02,0.43,0.0199,-0.0029,8.93,Piedade,0,3,0.0007,False
3538907,SP,0.09,3.4557,0.06,0.48,0.25,0.0118,0.0057,7.88,Pilar do Sul,0,5,0.0005,False
3538709,SP,2.93,0.6528,34.12,101.02,53.32,0.1018,-0.0026,272.36,Piacatu,0,3,0.0197,True
3538600,SP,0.18,2.3756,0.39,1.61,1.0,0.0334,-0.0026,13.91,Peruíbe,0,3,0.001,False
3538204,SP,0.07,3.9926,0.19,0.69,0.37,0.0266,-0.0046,6.41,Pedro de Toledo,0,3,0.0004,False
3538303,SP,0.01,8.9061,0.0,0.05,0.02,0.0032,0.0089,0.76,Penápolis,0,6,0.0001,False
3538006,SP,1.61,0.9199,6.67,14.15,17.5,0.1067,0.0025,82.16,Pedreira,0,3,0.0082,False
3538105,SP,0.1,3.078,0.05,0.66,0.29,0.0203,0.0021,5.49,Pedrinhas Paulista,0,5,0.0005,False
3537909,SP,0.15,2.7477,0.58,1.54,1.24,0.0463,0.0054,13.3,Pedregulho,0,5,0.0009,False
3537701,SP,0.02,6.2578,0.01,0.1,0.06,0.0141,0.0007,1.52,Pedra Bela,0,5,0.0001,False
3537503,SP,0.02,6.2578,0.18,0.33,0.24,0.0472,-0.0041,2.61,Paulo de Faria,0,5,0.0002,False
3537800,SP,0.34,1.7959,1.77,3.21,2.95,0.057,-0.0026,25.58,Pedranópolis,0,3,0.002,False
3537602,SP,1.1,1.1182,3.78,9.0,13.85,0.0983,-0.0026,71.77,Pederneiras,0,3,0.0062,False
3537404,SP,0.25,1.9874,0.13,0.85,0.59,0.0115,-0.0054,16.99,Paulistânia,0,3,0.0013,False
3537305,SP,0.29,1.7881,0.55,4.12,1.55,0.0177,-0.0059,40.98,Paulínia,0,3,0.0022,False
3537156,SP,0.01,10.9302,0.02,0.02,0.05,0.0284,-0.0025,0.76,Outros,0,6,0.0001,False
3537107,SP,0.14,2.5964,1.71,7.72,2.86,0.0785,-0.0031,19.31,Patrocínio Paulista,0,3,0.0011,False
3536802,SP,0.02,6.8697,0.07,0.21,0.15,0.0298,-0.007,2.4,Pardinho,0,5,0.0001,False
3537206,SP,0.12,2.8667,0.1,0.31,0.39,0.0291,-0.0058,5.28,Paulicéia,0,3,0.0005,False
3537008,SP,0.08,3.3235,0.1,0.55,0.31,0.015,0.0018,8.75,Parisi,0,5,0.0005,False
3536901,SP,0.01,10.9302,0.0,0.03,0.01,0.0035,-0.0115,0.68,Pariquera-Açu,0,6,0.0,False
3536703,SP,0.35,1.6999,0.29,2.82,1.28,0.0203,-0.0031,26.2,Parapuã,0,3,0.0019,False
3536406,SP,0.02,6.6927,0.03,0.29,0.07,0.0095,0.0059,2.91,Paraibuna,0,5,0.0002,False
3536570,SP,0.02,7.6967,0.02,0.03,0.03,0.0238,-0.0067,0.41,Outros,0,6,0.0001,False
3536505,SP,0.68,1.2046,6.43,18.23,11.83,0.0937,-0.0013,65.8,Paranapanema,0,3,0.0046,False
3536604,SP,0.09,3.4557,0.05,0.1,0.18,0.0143,-0.0063,3.65,Paranapuã,0,3,0.0004,False
3536307,SP,0.07,3.7494,0.23,0.76,0.59,0.0354,0.0019,8.42,Paraguaçu Paulista,0,5,0.0005,False
3536257,SP,0.01,10.9302,0.0,0.05,0.02,0.0067,0.011,0.72,Outros,0,6,0.0,False
3536208,SP,0.12,3.2004,0.17,0.8,0.6,0.0258,-0.005,10.37,Panorama,0,3,0.0007,False
3536109,SP,0.02,6.8697,0.1,0.17,0.18,0.0388,0.012,2.33,Palmital,0,6,0.0001,False
3536000,SP,0.08,3.7245,0.1,0.21,0.23,0.0202,-0.0033,4.47,Palmeira d'Oeste,0,5,0.0004,False
3535903,SP,0.02,7.4994,0.01,0.12,0.04,0.0107,0.0166,1.18,Palmares Paulista,0,6,0.0001,False
3535804,SP,0.05,4.7356,0.06,0.21,0.2,0.0227,-0.0097,3.77,Palestina,0,5,0.0003,False
3535705,SP,0.01,8.6786,0.03,0.11,0.07,0.0202,-0.0049,1.63,Pacaembu,0,6,0.0001,False
3535507,SP,0.34,1.8748,0.21,1.48,1.22,0.0173,-0.0023,28.88,Ouroeste,0,3,0.002,False
3535606,SP,0.13,2.7329,0.25,0.99,0.79,0.0447,-0.0021,8.26,Ouro Verde,0,3,0.0007,False
3535408,SP,0.12,2.972,0.04,0.62,0.24,0.0069,-0.0023,10.41,Ourinhos,0,3,0.0007,False
3535309,SP,0.14,2.5497,0.2,0.86,0.75,0.032,0.0001,10.73,Osvaldo Cruz,0,3,0.0008,False
3535200,SP,0.06,4.7875,0.01,0.25,0.1,0.0123,-0.0022,2.18,Oscar Bressane,0,5,0.0002,False
3535101,SP,0.07,4.037,0.02,0.18,0.13,0.0157,-0.0022,2.24,Osasco,0,5,0.0003,False
